"PVWatts Hourly PV Performance Data"
"Requested Location","昆明"
"Location","Lat, Lng: 25.05, 102.7"
"Latitude (DD)","25.05"
"Longitude (DD)","102.70"
"Elevation (m)","1922"
"DC System Size (kW)","244.44"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","7","19","0","0","13.2","1.2","0.2","0","13.2","0","0"
"11","7","20","0","0","12.2","1.2","0.2","0","12.2","0","0"
"11","7","21","0","0","11.2","1.2","0.2","0","11.2","0","0"
"11","7","22","0","0","10.4","1.1","0.2","0","10.4","0","0"
"11","7","23","0","0","9.9","1.1","0.2","0","9.9","0","0"
"11","8","0","0","0","9.7","1","0.2","0","9.7","0","0"
"11","8","1","0","0","9.6","0.9","0.2","0","9.6","0","0"
"11","8","2","0","0","9.6","0.9","0.2","0","9.6","0","0"
"11","8","3","0","0","9.6","0.9","0.2","0","9.6","0","0"
"11","8","4","0","0","9.7","1","0.2","0","9.7","0","0"
"11","8","5","0","0","9.8","1.2","0.2","0","9.8","0","0"
"11","8","6","0","0","9.6","1.4","0.2","0","9.6","0","0"
"11","8","7","22","11","9.4","1.4","0.2","14.457","9.778","2314.475","1263.611"
"11","8","8","158","93","10.3","1.7","0.2","156.287","14.342","32657.855","30531.804"
"11","8","9","616","134","12.5","1.5","0.2","512.856","26.435","107525.261","102746.36"
"11","8","10","770","140","16.2","1.1","0.2","745.221","38.385","147713.109","141510.193"
"11","8","11","840","144","19.3","0.7","0.2","900.079","48.982","169480.237","162506.025"
"11","8","12","872","142","20.8","0.8","0.2","976.78","52.124","180776.729","173402.238"
"11","8","13","858","146","21.6","1.2","0.2","961.32","49.453","180012.47","172665.06"
"11","8","14","799","154","21.8","1.5","0.2","860.735","45.076","164907.396","158095.218"
"11","8","15","740","136","21.6","1.7","0.2","691.175","39.528","136705.349","130892.481"
"11","8","16","617","112","20.6","1.7","0.2","461.189","32.605","94675.303","90351.728"
"11","8","17","337","69","18.2","1.3","0.2","187.341","23.449","36634.908","34367.935"
"11","8","18","0","0","15.7","1","0.2","0","0","0","0"
"11","8","19","0","0","14.4","1.1","0.2","0","14.4","0","0"
"11","8","20","0","0","13.5","1.1","0.2","0","13.5","0","0"
"11","8","21","0","0","12.6","1.1","0.2","0","12.6","0","0"
"11","8","22","0","0","11.7","1.1","0.2","0","11.7","0","0"
"11","8","23","0","0","11","1.1","0.2","0","11","0","0"
"11","9","0","0","0","10.5","1.1","0.2","0","10.5","0","0"
"11","9","1","0","0","10.1","1.1","0.2","0","10.1","0","0"
"11","9","2","0","0","9.9","1","0.2","0","9.9","0","0"
"11","9","3","0","0","9.7","0.9","0.2","0","9.7","0","0"
"11","9","4","0","0","9.5","0.8","0.2","0","9.5","0","0"
"11","9","5","0","0","9.5","0.7","0.2","0","9.5","0","0"
"11","9","6","0","0","9.4","0.6","0.2","0","9.4","0","0"
"11","9","7","39","12","9.4","0.6","0.2","19.626","10.024","3112.027","2032.902"
"11","9","8","382","87","12","1.3","0.2","241.025","18.805","49754.254","47022.41"
"11","9","9","641","119","14.9","2.1","0.2","511.387","27.145","107035.493","102273.947"
"11","9","10","780","125","17.8","2.7","0.2","735.293","33.484","148703.404","142465.398"
"11","9","11","475","257","19.7","3","0.2","701.428","33.854","139767.292","133845.928"
"11","9","12","861","132","20.8","3.1","0.2","954.334","39.755","185951.692","178393.831"
